developerCountry,countryCode,userRatingCount,primaryGenreName,downloads,deviceType,hasPrivacyLink,hasTermsOfServiceLink,hasTermsOfServiceLinkRating,isCorporateEmailScore,adSpent,appAge,averageUserRating,appContentBrandSafetyRating,appDescriptionBrandSafetyRating,mfaRating
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,24,Music & Audio,500 - 1000,GLOBAL,,,,0.0,,44.633333333333326,4.0,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,500 - 1000,GLOBAL,True,False,high,99.0,,15.3,,,low,low
FRANCE,HR,7015,Games,1000000 - 5000000,GLOBAL,True,True,low,99.0,3.18979179849187,59.833333333333336,4.0,medium,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Health & Fitness,1000 - 5000,GLOBAL,True,True,low,99.0,,39.6,4.0,,high,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Personalization,100 - 500,GLOBAL,True,,,0.0,,43.7,,,low,low
INDIA,GLOBAL,931,Games,,GLOBAL,True,False,high,0.0,,46.53333333333333,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,1 - 5,GLOBAL,True,,,0.0,,20.366666666666667,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,RU,9,Entertainment,,smartphone,True,True,low,,25.00067438460993,99.53333333333332,4.0,low,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,17,Education,,GLOBAL,True,True,low,99.0,,83.86666666666666,4.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,231,Business,10000 - 50000,GLOBAL,True,False,high,99.0,,68.5,2.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,News & Magazines,10 - 50,GLOBAL,False,False,high,99.0,,62.86666666666667,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Utilities,,GLOBAL,,,,,,86.66666666666667,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,,0,Games,,smartphone,True,,,0.0,18.096251196704763,7.2333333333333325,0.0,,high,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,,GLOBAL,True,,,,,30.666666666666668,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,1 - 5,GLOBAL,,,,0.0,,53.03333333333333,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2283,Lifestyle,,GLOBAL,True,,,,,29.766666666666666,3.0,,high,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,1 - 5,GLOBAL,True,,,0.0,,16.5,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Maps & Navigation,100 - 500,GLOBAL,True,,,0.0,,71.5,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Health & Fitness,,GLOBAL,True,,,,,4.1,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Business,,GLOBAL,True,,,0.0,,50.5,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,100 - 500,GLOBAL,True,,,99.0,,35.333333333333336,,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Communication,100 - 500,GLOBAL,True,,,99.0,,46.86666666666667,0.0,,low,low
CHINA,APAC,1510,Games,100000 - 500000,smartphone,True,False,high,0.0,2.850855013756148,18.4,3.0,,low,low
NETHERLANDS,GLOBAL,0,Travel & Local,100 - 500,GLOBAL,True,False,high,99.0,,121.36666666666666,3.0,,low,low
INDIA,GLOBAL,0,Business,,GLOBAL,True,True,low,,,78.26666666666665,0.0,,low,low
CHINA,ES,1016,Entertainment,,smartphone,True,False,high,,0.7879453322750891,53.766666666666666,4.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,10 - 50,GLOBAL,True,,,99.0,,56.73333333333333,,,low,low
FRANCE,GLOBAL,1122,Games,50000 - 100000,GLOBAL,True,True,low,99.0,93.79861252694064,25.966666666666665,4.0,,low,low
RUSSIAN FEDERATION,GLOBAL,0,Games,100 - 500,GLOBAL,,,,0.0,,52.833333333333336,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,,448,Games,,GLOBAL,True,False,high,,0.4054683544303797,45.0,2.0,,medium,low
INDONESIA,GLOBAL,223,Health & Fitness,1000 - 5000,GLOBAL,True,,,99.0,,30.2,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,DE,0,News & Magazines,1000 - 5000,connected-tv/ott,True,True,low,99.0,4.324914557580602,58.23333333333333,,medium,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,10 - 50,GLOBAL,True,,,99.0,,52.86666666666667,,,low,low
ITALY,GLOBAL,0,Education,,GLOBAL,True,,,0.0,,47.1,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,12,Productivity,10 - 50,GLOBAL,,,,0.0,,53.43333333333333,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,,GLOBAL,True,,,99.0,,21.1,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,LATAM,6135,Beauty,1000000 - 5000000,GLOBAL,True,False,high,0.0,2.5098935930693065,72.93333333333332,4.0,medium,low,low
CHINA,GLOBAL,0,Games,100 - 500,GLOBAL,True,,,0.0,,29.866666666666667,,,medium,low
CANNOT IDENTIFY COUNTRY,GLOBAL,14166,Games,100000 - 500000,tablet,True,True,low,99.0,0.0884071584460934,41.2,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,13,Shopping,,GLOBAL,True,,,99.0,,75.4,3.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,LATAM,26,Tools,10000 - 50000,smartphone,True,,,0.0,475.3723271002567,3.4333333333333327,4.0,,low,low
PAKISTAN,ID,933,Games,100000 - 500000,smartphone,True,False,high,0.0,4.385047380047219,14.8,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,10 - 50,GLOBAL,True,True,low,99.0,,8.566666666666666,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Utilities,,GLOBAL,True,,,,,52.86666666666667,5.0,,low,low
UZBEKISTAN,GLOBAL,1077,Lifestyle,50000 - 100000,GLOBAL,True,,,0.0,,29.2,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Reference,,GLOBAL,True,,,,,69.66666666666667,1.0,,low,low
UNITED KINGDOM,GLOBAL,0,Business,,GLOBAL,True,,,99.0,,27.9,0.0,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,50 - 100,GLOBAL,True,,,99.0,,58.133333333333326,,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,1 - 5,GLOBAL,True,,,0.0,,66.36666666666666,,,medium,low
CANADA,GLOBAL,0,Tools,10 - 50,GLOBAL,True,,,0.0,,16.4,0.0,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,2,Sports,,GLOBAL,True,,,99.0,,59.7,1.0,,low,low
NEW ZEALAND,ES,36520,Games,1000000 - 5000000,GLOBAL,True,False,high,0.0,0.0689280597289588,61.3,4.0,low,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,10 - 50,GLOBAL,True,,,0.0,,71.46666666666667,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,5 - 10,GLOBAL,True,,,0.0,,33.4,,,low,low
UNITED STATES,GLOBAL,90,Business,10000 - 50000,GLOBAL,True,False,high,99.0,,102.33333333333331,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,,GLOBAL,True,,,99.0,,66.5,0.0,,high,low
SRI LANKA,GLOBAL,0,Tools,50 - 100,GLOBAL,True,,,99.0,,52.2,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,69,Finance,1000 - 5000,GLOBAL,True,,,99.0,,38.9,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,20,Games,1000 - 5000,GLOBAL,,,,0.0,,110.43333333333334,3.0,,low,low
CHINA,GLOBAL,10,Photography,500 - 1000,GLOBAL,,,,0.0,,148.26666666666668,3.0,,low,low
AUSTRALIA,GLOBAL,0,Food & Drink,,GLOBAL,True,,,99.0,,36.266666666666666,0.0,,low,low
REPUBLIC OF KOREA,GLOBAL,0,Books & Reference,10 - 50,GLOBAL,True,False,high,99.0,,80.53333333333333,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,10000 - 50000,GLOBAL,True,,,99.0,,59.93333333333333,3.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,0 - 1,GLOBAL,,,,99.0,,46.766666666666666,,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Productivity,5 - 10,GLOBAL,True,False,high,99.0,,41.9,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Art & Design,50 - 100,GLOBAL,True,,,0.0,,41.03333333333333,0.0,,low,low
COTE D'IVOIRE,GLOBAL,98,Maps & Navigation,10000 - 50000,GLOBAL,True,,,0.0,,73.16666666666667,4.0,,low,low
UNITED KINGDOM,ZM,125230,Games,10000000 - 50000000,GLOBAL,True,True,low,99.0,0.1459428810888145,55.86666666666667,3.0,medium,high,low
UNITED STATES,GLOBAL,2129,Business,,GLOBAL,True,True,low,99.0,,78.4,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Entertainment,100 - 500,GLOBAL,True,,,0.0,,28.0,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,,GLOBAL,True,True,low,99.0,,78.13333333333334,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,500 - 1000,GLOBAL,True,True,low,0.0,,39.53333333333333,,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Books & Reference,100 - 500,GLOBAL,True,,,0.0,,48.56666666666667,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,4,Utilities,,GLOBAL,True,,,,,37.766666666666666,4.0,,high,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,1 - 5,GLOBAL,True,,,99.0,,17.433333333333334,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,8,Tools,500 - 1000,GLOBAL,True,,,0.0,,42.833333333333336,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Books & Reference,0 - 1,GLOBAL,True,,,0.0,,13.9,,,low,low
INDIA,GLOBAL,0,Finance,10 - 50,GLOBAL,True,,,0.0,,72.6,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1289,Games,500000 - 1000000,smartphone,True,,,0.0,,70.2,3.0,medium,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,130,Entertainment,5000 - 10000,GLOBAL,True,,,0.0,,65.93333333333334,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,23,Comics,500 - 1000,GLOBAL,,,,0.0,,123.06666666666666,4.0,,low,low
RUSSIAN FEDERATION,GLOBAL,0,Business,10 - 50,GLOBAL,True,,,99.0,,24.23333333333333,,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Education,5 - 10,GLOBAL,True,,,0.0,,33.333333333333336,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,ID,24256,Games,1000000 - 5000000,GLOBAL,True,False,high,99.0,13014.067335962774,3.6666666666666665,4.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,100 - 500,GLOBAL,True,,,0.0,,79.46666666666667,0.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11883,Education,1000000 - 5000000,tablet,True,False,high,0.0,0.2084127150731364,67.6,4.0,low,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,5 - 10,smartphone,True,False,high,0.0,,21.73333333333333,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Music & Audio,10 - 50,GLOBAL,True,,,0.0,,22.066666666666663,5.0,,medium,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,,GLOBAL,True,,,99.0,,74.96666666666667,0.0,,high,low
IRELAND,PH,102037,Entertainment,,smartphone,True,False,high,99.0,0.4321224341193576,104.4,4.0,medium,high,low
ADDRESS NOT LISTED IN PLAYSTORE,BG,83,Games,500000 - 1000000,GLOBAL,True,True,low,99.0,0.8962006165113404,1.8333333333333333,3.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Utilities,,GLOBAL,True,,,,,26.7,5.0,,low,low
KAZAKHSTAN,KG,281,Games,100000 - 500000,smartphone,True,False,high,99.0,26.345670210683885,9.23333333333333,4.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,10 - 50,GLOBAL,True,,,0.0,,84.96666666666667,0.0,,low,low
UNITED STATES,GLOBAL,25,Medical,10000 - 50000,GLOBAL,True,,,99.0,,26.666666666666668,3.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,5 - 10,GLOBAL,True,,,0.0,,78.6,0.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,10 - 50,GLOBAL,True,,,0.0,,32.4,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,100 - 500,GLOBAL,True,True,low,99.0,,65.4,,,low,low
FRANCE,GLOBAL,95,Tools,10000 - 50000,GLOBAL,True,True,low,99.0,,152.76666666666668,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Stickers,,GLOBAL,True,,,,,64.5,0.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,10 - 50,GLOBAL,True,False,high,0.0,,79.36666666666666,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Personalization,10 - 50,GLOBAL,True,,,0.0,,55.46666666666666,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,,GLOBAL,,,,,,57.1,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1843,Tools,100000 - 500000,connected-tv/ott,True,True,low,0.0,1.0633643038312166,8.0,4.0,,medium,low
HONG KONG,IT,5046,Games,500000 - 1000000,GLOBAL,True,False,high,0.0,3.712007352824412,70.9,3.0,medium,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,5 - 10,GLOBAL,True,False,high,99.0,,53.4,,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,100 - 500,GLOBAL,True,,,0.0,,57.8,,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,2,Medical,,GLOBAL,True,,,99.0,,77.56666666666666,5.0,,high,low
ADDRESS NOT LISTED IN PLAYSTORE,UG,32209,Games,1000000 - 5000000,GLOBAL,True,,,0.0,0.9017254886055917,70.53333333333333,4.0,medium,high,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,437,Music & Audio,10000 - 50000,tablet,True,False,high,0.0,,34.2,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,10 - 50,GLOBAL,True,False,high,99.0,,96.3,0.0,,low,low
NETHERLANDS,GLOBAL,0,Lifestyle,100 - 500,GLOBAL,True,,,99.0,,92.76666666666665,0.0,,low,low
CHILE,GLOBAL,0,Music & Audio,100 - 500,GLOBAL,True,,,0.0,,74.46666666666667,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Medical,10 - 50,GLOBAL,True,False,high,99.0,,105.26666666666668,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11,Maps & Navigation,1000 - 5000,GLOBAL,,,,0.0,,169.23333333333332,3.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,NL,928,Games,500000 - 1000000,smartphone,True,True,low,0.0,4.394759164516676,13.9,4.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Tools,50 - 100,GLOBAL,,,,0.0,,94.4,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,10,Food & Drink,1000 - 5000,GLOBAL,True,,,0.0,,38.36666666666667,3.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,10 - 50,GLOBAL,True,,,0.0,,29.23333333333333,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Utilities,,GLOBAL,True,,,,,8.866666666666667,0.0,,high,low
CHINA,RU,149985,Games,10000000 - 50000000,GLOBAL,True,True,low,99.0,20.98472306068551,59.23333333333333,4.0,high,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,10 - 50,GLOBAL,True,,,99.0,,67.4,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,14,Education,1000 - 5000,GLOBAL,True,,,0.0,,29.8,3.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,119,Education,10000 - 50000,GLOBAL,True,,,0.0,,50.23333333333333,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,68,Games,,GLOBAL,True,,,,,44.86666666666667,4.0,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,10 - 50,GLOBAL,True,,,99.0,,93.16666666666669,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,21,Finance,5000 - 10000,GLOBAL,True,,,99.0,,76.73333333333333,4.0,,low,low
BAHRAIN,BD,2967,Games,1000000 - 5000000,GLOBAL,True,True,low,0.0,0.271097238643865,22.266666666666666,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Reference,,GLOBAL,True,,,,,71.26666666666667,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Shopping,,GLOBAL,True,,,,,10.2,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Utilities,,GLOBAL,True,,,99.0,,8.766666666666667,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2,Finance,,GLOBAL,True,,,99.0,,66.7,5.0,,low,low
JAPAN,GLOBAL,0,Tools,1 - 1,GLOBAL,True,,,0.0,,80.93333333333332,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,,GLOBAL,True,,,,,45.56666666666667,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Health & Fitness,,GLOBAL,True,,,99.0,,1.2666666666666666,0.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,,GLOBAL,True,False,high,99.0,,73.6,0.0,,high,low
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Personalization,100 - 500,smartphone,True,,,0.0,,16.9,,,low,low
INDIA,GLOBAL,0,Health & Fitness,10 - 50,GLOBAL,True,,,99.0,,23.53333333333333,,,low,low
FRANCE,SE,25134,Games,10000000 - 50000000,smartphone,True,True,low,99.0,3.0173933954807453,35.766666666666666,3.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,52,Lifestyle,,GLOBAL,True,,,99.0,,45.6,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,APAC,738,Games,50000 - 100000,smartphone,True,True,low,99.0,36.20151862470796,15.0,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,10 - 50,GLOBAL,True,,,0.0,,57.53333333333333,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,10 - 50,GLOBAL,True,,,99.0,,59.8,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,100 - 500,GLOBAL,True,False,high,99.0,,54.5,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,10 - 50,GLOBAL,True,,,99.0,,44.766666666666666,,,low,low
